City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aswan,24.0934,32.907,98.04,14,11,4.92,EG,1719559160
1,labytnangi,66.6572,66.4183,53.71,52,100,12.1,RU,1719559161
2,sabha,27.0377,14.4283,88.75,16,0,13.31,LY,1719559163
3,leo,11.1,-2.1,78.64,74,100,8.86,BF,1719559164
4,labuan,5.2767,115.2417,88.16,70,20,3.44,MY,1719559165
5,puerto natales,-51.7236,-72.4875,27.03,94,20,2.77,CL,1719559037
6,valparaiso,-33.0393,-71.6273,57,73,0,3.44,CL,1719558937
7,ushuaia,-54.8,-68.3,28.06,86,100,3.44,AR,1719558904
8,neiafu,-18.65,-173.9833,77.59,82,22,13.69,TO,1719559170
9,edinburgh of the seven seas,-37.0676,-12.3116,52.68,63,100,14.97,SH,1719559171
10,albany,42.6001,-73.9662,53.22,64,3,4.85,US,1719559172
11,enewetak,11.3474,162.3373,83.21,79,100,15.1,MH,1719559173
12,west island,-12.1568,96.8225,84.18,70,20,11.5,CC,1719559036
13,baki,-7.6128,110.7839,89.35,56,73,5.99,ID,1719559175
14,kalabo,-14.97,22.6814,63.34,44,0,8.48,ZM,1719559176
15,adamstown,-25.066,-130.1015,69.96,83,85,18.86,PN,1719559178
16,avarua,-21.2078,-159.775,77.05,94,75,11.5,CK,1719559179
17,bredasdorp,-34.5322,20.0403,59.83,48,0,6.44,ZA,1719559180
18,dalbandin,28.8947,64.4101,104.83,17,45,1.81,PK,1719559181
19,waitangi,-43.9535,-176.5597,51.82,93,34,4,NZ,1719559182
20,barro alto,-11.7608,-41.9117,60.78,88,16,4.21,BR,1719559183
21,misratah,32.3754,15.0925,84.27,44,0,7.16,LY,1719559184
22,dryden,49.7833,-92.7503,57.49,82,75,4.61,CA,1719559187
23,kodiak,57.79,-152.4072,47.71,100,100,0,US,1719559188
24,oyama,36.3,139.8,74.59,91,100,7.65,JP,1719559189
25,fortuna,40.5982,-124.1573,57.92,92,100,8.05,US,1719559190
26,prince rupert,54.3161,-130.3201,53.69,97,100,4.61,CA,1719559191
27,yellowknife,62.456,-114.3525,48.72,71,20,4.61,CA,1719559192
28,corner brook,48.9667,-57.9484,55.56,97,100,2.93,CA,1719559194
29,i-n-salah,27.1935,2.4607,105.6,7,21,12.24,DZ,1719559195
30,selfoss,63.9331,-20.9971,45.05,65,1,12.28,IS,1719559196
31,ribeira grande,38.5167,-28.7,69.78,77,20,6.91,PT,1719559197
32,saipan,15.1355,145.701,86.7,70,40,14.97,MP,1719559198
33,leh,34.1667,77.5833,64,33,71,3.8,IN,1719559199
